team,10/16/2018,10/17/2018,10/18/2018,10/19/2018,10/20/2018,10/21/2018,10/22/2018,10/23/2018,10/24/2018,10/25/2018,10/26/2018,10/27/2018,10/28/2018,10/29/2018,10/30/2018,10/31/2018,11/1/2018,11/2/2018,11/3/2018,11/4/2018,11/5/2018,11/6/2018,11/7/2018,11/8/2018,11/9/2018,11/10/2018,11/11/2018,11/12/2018,11/13/2018,11/14/2018,11/15/2018,11/16/2018,11/17/2018,11/18/2018,11/19/2018,11/20/2018,11/21/2018,11/22/2018,11/23/2018,11/24/2018,11/25/2018,11/26/2018,11/27/2018,11/28/2018,11/29/2018,11/30/2018,12/1/2018,12/2/2018,12/3/2018,12/4/2018,12/5/2018,12/6/2018,12/7/2018,12/8/2018,12/9/2018,12/10/2018,12/11/2018,12/12/2018,12/13/2018,12/14/2018,12/15/2018,12/16/2018,12/17/2018,12/18/2018,12/19/2018,12/20/2018,12/21/2018,12/22/2018,12/23/2018,12/24/2018,12/25/2018,12/26/2018,12/27/2018,12/28/2018,12/29/2018,12/30/2018,12/31/2018,1/1/2019,1/2/2019,1/3/2019,1/4/2019,1/5/2019,1/6/2019,1/7/2019,1/8/2019,1/9/2019,1/10/2019,1/11/2019,1/12/2019,1/13/2019,1/14/2019,1/15/2019,1/16/2019,1/17/2019,1/18/2019,1/19/2019,1/20/2019,1/21/2019,1/22/2019,1/23/2019,1/24/2019,1/25/2019,1/26/2019,1/27/2019,1/28/2019,1/29/2019,1/30/2019,1/31/2019,2/1/2019,2/2/2019,2/3/2019,2/4/2019,2/5/2019,2/6/2019,2/7/2019,2/8/2019,2/9/2019,2/10/2019,2/11/2019,2/12/2019,2/13/2019,2/14/2019,2/15/2019,2/16/2019,2/17/2019,2/18/2019,2/19/2019,2/20/2019,2/21/2019,2/22/2019,2/23/2019,2/24/2019,2/25/2019,2/26/2019,2/27/2019,2/28/2019,3/1/2019,3/2/2019,3/3/2019,3/4/2019,3/5/2019,3/6/2019,3/7/2019,3/8/2019,3/9/2019,3/10/2019,3/11/2019,3/12/2019,3/13/2019,3/14/2019,3/15/2019,3/16/2019,3/17/2019,3/18/2019,3/19/2019,3/20/2019,3/21/2019,3/22/2019,3/23/2019,3/24/2019,3/25/2019,3/26/2019,3/27/2019,3/28/2019,3/29/2019,3/30/2019,3/31/2019,4/1/2019,4/2/2019,4/3/2019,4/4/2019,4/5/2019,4/6/2019,4/7/2019,4/8/2019,4/9/2019,4/10/2019,4/11/2019,4/12/2019,4/13/2019,4/14/2019,4/15/2019,4/16/2019,4/17/2019,4/18/2019,4/19/2019,4/20/2019,4/21/2019
Cleveland,,Cleveland@Toronto,,Cleveland@Minneapolis,,,,,,Cleveland@Detroit,,,,,,,,,Cleveland@Charlotte,,Cleveland@Orlando,,,,,Cleveland@Chicago,,,,Cleveland@Washington,,,,,Cleveland@Detroit,,,,Cleveland@Philedelphia,,,,,Cleveland@OKC,,Cleveland@Boston,,,Cleveland@Brooklyn,,,,,,,Cleveland@Milwakee,,,,,,,,Cleveland@Indianapolis,Cleveland@Charlotte,,Cleveland@Toronto,,,,,Cleveland@Memphis,,Cleveland@Miami,Cleveland@Atlanta,,,,,,,,,,,Cleveland@New Orleans,,Cleveland@Houston,,Cleveland@LAL,,,Cleveland@Portland,,Cleveland@Utah,Cleveland@Denver,,,,Cleveland@Boston,,,,Cleveland@Chicago,,,,,,,,,,,,Cleveland@Washington,Cleveland@Indianapolis,,,,,,,,,,,,,,,,,,,Cleveland@New York,,,,,,Cleveland@Brooklyn,,Cleveland@Miami,,,,Cleveland@Philedelphia,,Cleveland@Orlando,,Cleveland@Dallas,,,,,,,,Cleveland@Milwakee,,,,Cleveland@San Antonio,,Cleveland@LAC,,Cleveland@Phoenix,,,Cleveland@Sacramento,Cleveland@Oakland,,,,,,,,,,,,,,,,
Milwakee,,Milwakee@Charlotte,,,,,,,,,Milwakee@Minneapolis,,,,,,Milwakee@Boston,,,,,Milwakee@Portland,,Milwakee@Oakland,,Milwakee@LAC,Milwakee@Denver,,,,,,,,,,,,,,,Milwakee@Charlotte,,,,,Milwakee@New York,,,,,,,,Milwakee@Toronto,,,Milwakee@Indianapolis,,Milwakee@Cleveland,,,Milwakee@Detroit,,,,Milwakee@Boston,Milwakee@Miami,,,Milwakee@New York,,,,,,,,,,,,,,,Milwakee@Houston,,Milwakee@Washington,,Milwakee@Atlanta,,,Milwakee@Memphis,,,Milwakee@Orlando,,,,,,,,Milwakee@OKC,,Milwakee@Detroit,,Milwakee@Toronto,,Milwakee@Washington,,Milwakee@Brooklyn,,,,Milwakee@Dallas,,,Milwakee@Chicago,,Milwakee@Indianapolis,,,,,,,,,,,,Milwakee@Chicago,,Milwakee@Sacramento,,Milwakee@LAL,Milwakee@Utah,,Milwakee@Phoenix,,,,,,Milwakee@San Antonio,,Milwakee@New Orleans,,,Milwakee@Miami,,,,,Milwakee@Cleveland,,,,,,,,,,,Milwakee@Atlanta,Milwakee@Brooklyn,,,Milwakee@Philedelphia,,,,,,,,,,,,,,,,,
Chicago,,,Chicago@Philedelphia,,,,Chicago@Dallas,,,,Chicago@Charlotte,Chicago@Atlanta,,,,,,,,,Chicago@New York,,Chicago@New Orleans,,,,,,,Chicago@Boston,,Chicago@Milwakee,,,,,,,,Chicago@Minneapolis,,,,Chicago@Milwakee,,Chicago@Detroit,Chicago@Houston,,,Chicago@Indianapolis,,,,,,,,,Chicago@Orlando,,Chicago@San Antonio,,Chicago@OKC,,,,,,Chicago@Cleveland,,,,,Chicago@Washington,,Chicago@Toronto,,,,,,,,,,Chicago@Portland,,Chicago@Oakland,Chicago@Utah,,,Chicago@LAL,,Chicago@Denver,,,,Chicago@Cleveland,,,,,,,,Chicago@Brooklyn,Chicago@Miami,,,Chicago@Charlotte,,,,,,Chicago@Brooklyn,,,,,,,,,,,,,,Chicago@Orlando,,,,,Chicago@Memphis,,Chicago@Atlanta,,,,Chicago@Indianapolis,,,,,Chicago@Detroit,,,,,Chicago@LAC,,Chicago@Sacramento,Chicago@Phoenix,,,,,,,,Chicago@Toronto,,,,,,Chicago@New York,,Chicago@Washington,,,,,,,Chicago@Philedelphia,,,,,,,,,,,
Indianapolis,,,,Indianapolis@Milwakee,,,Indianapolis@Minneapolis,,Indianapolis@San Antonio,,,Indianapolis@Cleveland,,,,Indianapolis@New York,,Indianapolis@Chicago,,,,,,,Indianapolis@Miami,,Indianapolis@Houston,,,,,,,,,,Indianapolis@Charlotte,,,,,Indianapolis@Utah,Indianapolis@Phoenix,,Indianapolis@LAL,,Indianapolis@Sacramento,,,,,,Indianapolis@Orlando,,,,,,,Indianapolis@Philedelphia,,,,,Indianapolis@Toronto,,Indianapolis@Brooklyn,,,,,Indianapolis@Atlanta,,,,,,,,,Indianapolis@Chicago,,Indianapolis@Toronto,,Indianapolis@Cleveland,Indianapolis@Boston,,Indianapolis@New York,,,,,,,,,,,,,,,Indianapolis@Memphis,,,,Indianapolis@Washington,Indianapolis@Orlando,,Indianapolis@Miami,,Indianapolis@New Orleans,,,,,,,,,,,,,,,,,,,Indianapolis@Washington,,Indianapolis@Detroit,,Indianapolis@Dallas,,,,,,,,Indianapolis@Milwakee,,,Indianapolis@Philedelphia,,,,,,Indianapolis@Denver,,Indianapolis@Portland,Indianapolis@LAC,,Indianapolis@Oakland,,,,,,Indianapolis@OKC,,Indianapolis@Boston,,,,,Indianapolis@Detroit,,,,,,,Indianapolis@Atlanta,,,,,,,,,,,
Detroit,,,,,Detroit@Chicago,,,,,,,,,,Detroit@Boston,Detroit@Brooklyn,,,Detroit@Philedelphia,,,,Detroit@Orlando,,Detroit@Atlanta,,,,,Detroit@Toronto,,,,,,,Detroit@Houston,,,,,,,,,,,,,,Detroit@Milwakee,,,,,Detroit@Philedelphia,,Detroit@Charlotte,,,,,,,Detroit@Minneapolis,,Detroit@Charlotte,,,,,,,Detroit@Indianapolis,,Detroit@Orlando,,Detroit@Milwakee,Detroit@Memphis,,,,,,,Detroit@LAL,Detroit@Sacramento,,Detroit@LAC,,Detroit@Utah,,,,,,,Detroit@Washington,,Detroit@New Orleans,,Detroit@Dallas,,,,,,,,,,,Detroit@New York,,,,,,,,Detroit@Boston,,,,,,,,,Detroit@Atlanta,Detroit@Miami,,,,Detroit@San Antonio,,,Detroit@Cleveland,,,,,,Detroit@Chicago,,,Detroit@Brooklyn,,Detroit@Miami,,,,,Detroit@Cleveland,,,Detroit@Phoenix,,Detroit@Portland,Detroit@Oakland,,Detroit@Denver,,,,,,Detroit@Indianapolis,,,,Detroit@OKC,,,,,Detroit@New York,,,,,,,,,,,
Washington,,,,,,,Washington@Portland,,Washington@Oakland,,Washington@Sacramento,,Washington@LAC,,Washington@Memphis,,,,,,,Washington@Dallas,,,Washington@Orlando,Washington@Miami,,,,,,,,,,,,,Washington@Toronto,,,,,Washington@New Orleans,,Washington@Philedelphia,,,Washington@New York,,Washington@Atlanta,,,Washington@Cleveland,,Washington@Indianapolis,,,,Washington@Brooklyn,,,,Washington@Atlanta,Washington@Houston,,,,Washington@Indianapolis,,,Washington@Detroit,,,,,,,,,Washington@Miami,,Washington@OKC,,Washington@Philedelphia,,,,,,,,,,,,,,,,,Washington@Orlando,,Washington@San Antonio,,Washington@Cleveland,,,,,,,,Washington@Milwakee,,,Washington@Chicago,,Washington@Detroit,,Washington@Toronto,,,,,,,,,Washington@Charlotte,,,,,Washington@Brooklyn,,Washington@Boston,,,,,,,Washington@Charlotte,Washington@Minneapolis,,,,,,,,,,,Washington@Chicago,,,,,,Washington@LAL,Washington@Phoenix,,Washington@Utah,,Washington@Denver,,,,,,,Washington@New York,,,,,,,,,,,,,,
Atlanta,,Atlanta@New York,,Atlanta@Memphis,,Atlanta@Cleveland,,,,,,,,Atlanta@Philedelphia,Atlanta@Cleveland,,,,,,,Atlanta@Charlotte,,,,,Atlanta@LAL,,Atlanta@Oakland,,Atlanta@Denver,,Atlanta@Indianapolis,,,,,,,,,,Atlanta@Miami,Atlanta@Charlotte,,Atlanta@OKC,,,,,,,,,,,,Atlanta@Dallas,,Atlanta@Boston,,Atlanta@Brooklyn,,,,,Atlanta@New York,,Atlanta@Detroit,,,,,Atlanta@Minneapolis,,,Atlanta@Indianapolis,,Atlanta@Washington,,Atlanta@Milwakee,,,,Atlanta@Toronto,Atlanta@Brooklyn,,Atlanta@Philedelphia,,,,,,,,,,,,Atlanta@Chicago,,,Atlanta@Portland,,Atlanta@LAC,,Atlanta@Sacramento,,Atlanta@Utah,Atlanta@Phoenix,,Atlanta@Washington,,,,,,,,,,,,,,,,,,,,,Atlanta@Houston,,,,,,Atlanta@Chicago,Atlanta@Miami,,,,,,,,,,,,Atlanta@Boston,Atlanta@Orlando,,,,,,,,,Atlanta@New Orleans,,,,,,,Atlanta@San Antonio,,,Atlanta@Orlando,,Atlanta@Milwakee,,,,,,,,,,,,,,
Miami,,Miami@Orlando,Miami@Washington,,,,,,,,,,,,Miami@Charlotte,,,,Miami@Atlanta,,Miami@Detroit,,,,,,,,,Miami@Brooklyn,,Miami@Indianapolis,,,,,,,Miami@Chicago,,Miami@Toronto,,,,,,,,,,,,Miami@Phoenix,Miami@LAC,,Miami@LAL,,Miami@Utah,,Miami@Memphis,,Miami@New Orleans,,,,,,,Miami@Orlando,,,,,,,,,,Miami@Cleveland,,,,Miami@Atlanta,,,,,,,,,Miami@Milwakee,,,Miami@Detroit,Miami@Chicago,,Miami@Boston,,,,Miami@Cleveland,,Miami@New York,,,,,,,,,Miami@Portland,,,Miami@Sacramento,,Miami@Oakland,Miami@Denver,,Miami@Dallas,,,,,,,,Miami@Philedelphia,,,,,,,Miami@Houston,,,,,,Miami@Charlotte,,,,,,,,,,,,Miami@OKC,,Miami@San Antonio,,Miami@Milwakee,Miami@Washington,,,,,,,Miami@New York,,Miami@Boston,,,,Miami@Minneapolis,,Miami@Toronto,,,Miami@Brooklyn,,,,,,,,,,,
Charlotte,,,,Charlotte@Orlando,Charlotte@Miami,,Charlotte@Toronto,,Charlotte@Chicago,,,Charlotte@Philedelphia,,,,,,,,,,,,,Charlotte@Philedelphia,,Charlotte@Detroit,,Charlotte@Cleveland,,,,,,,,,,Charlotte@OKC,,Charlotte@Atlanta,,,,,,,,,,Charlotte@Minneapolis,,,,Charlotte@New York,,,,,,,,,,,,,,Charlotte@Boston,,,Charlotte@Brooklyn,,,Charlotte@Washington,,,,,,,Charlotte@Denver,Charlotte@Phoenix,,Charlotte@LAC,,,Charlotte@Portland,Charlotte@Sacramento,,Charlotte@San Antonio,,,,,,Charlotte@Indianapolis,,,Charlotte@Memphis,,Charlotte@Milwakee,,,,,Charlotte@Boston,,,,,,,Charlotte@Dallas,,,Charlotte@Atlanta,,Charlotte@Indianapolis,,,Charlotte@Orlando,,,,,,,,,,,,,,,Charlotte@Brooklyn,,,,,,,,Charlotte@Milwakee,,Charlotte@Houston,,,,Charlotte@Washington,,Charlotte@Miami,,,,,,,Charlotte@Toronto,,,,,Charlotte@LAL,,Charlotte@Oakland,Charlotte@Utah,,Charlotte@New Orleans,,,,Charlotte@Detroit,,Charlotte@Cleveland,,,,,,,,,,,,
Orlando,,,,,Orlando@Philedelphia,,Orlando@Boston,,,,,Orlando@Milwakee,,,,,,,,Orlando@San Antonio,,,,,,,Orlando@New York,Orlando@Washington,,,,,,,,,,,Orlando@Denver,,Orlando@LAL,Orlando@Oakland,,Orlando@Portland,,Orlando@Phoenix,,,,Orlando@Miami,,,,,,Orlando@Dallas,,,,,,,,,,,Orlando@Chicago,,,,,,,,,,Orlando@Charlotte,,Orlando@Chicago,,Orlando@Minneapolis,,Orlando@LAC,Orlando@Sacramento,,Orlando@Utah,,,,,,,Orlando@Detroit,,,,,Orlando@Atlanta,,Orlando@Brooklyn,,,,Orlando@Houston,,,,,,,,,Orlando@OKC,,,,Orlando@Milwakee,Orlando@Atlanta,,Orlando@New Orleans,,,,,,,,,,,,Orlando@Toronto,,Orlando@New York,,,,Orlando@Indianapolis,Orlando@Cleveland,,Orlando@Philedelphia,,,,,Orlando@Memphis,,,Orlando@Washington,,,,,,,,,,,,,Orlando@Miami,,Orlando@Detroit,,Orlando@Indianapolis,,Orlando@Toronto,,,,,,Orlando@Boston,,,Orlando@Charlotte,,,,,,,,,,,
